RK,NAME,TEAM,SALARY
39,"Jayson Tatum, SF",Boston Celtics,"$28,103,500"
40,"Al Horford, C",Boston Celtics,"$27,000,000"
41,"Kyle Lowry, PG",Miami Heat,"$26,894,128"
42,"Jaylen Brown, SG",Boston Celtics,"$26,758,928"
43,"DeMar DeRozan, SF",Chicago Bulls,"$26,000,000"
44,"Draymond Green, PF",Golden State Warriors,"$24,026,712"
45,"Nikola Vucevic, C",Chicago Bulls,"$24,000,000"
46,"John Collins, PF",Atlanta Hawks,"$23,000,000"
47,"Buddy Hield, SG",Sacramento Kings,"$22,768,890"
48,"Julius Randle, PF",New York Knicks,"$21,780,000"
49,"Malcolm Brogdon, PG",Indiana Pacers,"$21,700,000"
50,"Tim Hardaway Jr., SF",Dallas Mavericks,"$21,308,816"
51,"Mike Conley, PG",Utah Jazz,"$21,000,000"
52,"Gary Harris, SG",Orlando Magic,"$20,482,143"
53,"Danilo Gallinari, PF",Atlanta Hawks,"$20,475,000"
54,"Harrison Barnes, SF",Sacramento Kings,"$20,284,091"
55,"Jerami Grant, SF",Detroit Pistons,"$20,002,500"
56,"Jarrett Allen, C",Cleveland Cavaliers,"$20,000,000"
57,"Domantas Sabonis, PF",Indiana Pacers,"$19,800,000"
58,"Fred VanVleet, SG",Toronto Raptors,"$19,675,926"
59,"Zach LaVine, SG",Chicago Bulls,"$19,500,000"
60,"Goran Dragic, PG",Toronto Raptors,"$19,440,000"
61,"Bojan Bogdanovic, SF",Utah Jazz,"$18,700,000"
62,"Lonzo Ball, PG",Chicago Bulls,"$18,604,651"
63,"Clint Capela, C",Atlanta Hawks,"$18,603,448"
64,"Eric Gordon, SG",Houston Rockets,"$18,218,818"
65,"Eric Bledsoe, SG",LA Clippers,"$18,125,000"
66,"Myles Turner, C",Indiana Pacers,"$18,000,000"
67,"Bogdan Bogdanovic, SG",Atlanta Hawks,"$18,000,000"
68,"Terry Rozier, SG",Charlotte Hornets,"$17,905,263"
69,"Ricky Rubio, PG",Cleveland Cavaliers,"$17,800,000"
70,"Caris LeVert, SG",Indiana Pacers,"$17,500,000"
71,"Jonathan Isaac, PF",Orlando Magic,"$17,400,000"
72,"Joe Harris, SF",Brooklyn Nets,"$17,357,143"
73,"Spencer Dinwiddie, PG",Washington Wizards,"$17,142,857"
74,"Steven Adams, C",Memphis Grizzlies,"$17,073,171"
75,"Evan Fournier, SG",New York Knicks,"$17,000,000"
76,"Markelle Fultz, PG",Orlando Magic,"$16,500,000"
77,"Aaron Gordon, PF",Denver Nuggets,"$16,409,091"
78,"OG Anunoby, SF",Toronto Raptors,"$16,071,429"
79,"Gary Trent Jr., SG",Toronto Raptors,"$16,000,000"
80,"Davis Bertans, SF",Washington Wizards,"$16,000,000"
81,"Lauri Markkanen, PF",Cleveland Cavaliers,"$15,690,909"
82,"Duncan Robinson, SG",Miami Heat,"$15,650,000"
83,"Marcus Morris Sr., SF",LA Clippers,"$15,627,907"
84,"Will Barton, SF",Denver Nuggets,"$15,625,000"
85,"Norman Powell, SF",Portland Trail Blazers,"$15,517,241"
86,"Dejounte Murray, PG",San Antonio Spurs,"$15,428,880"
87,"Derrick White, PG",San Antonio Spurs,"$15,178,571"
88,"Malik Beasley, SG",Minnesota Timberwolves,"$14,491,964"
89,"Marcus Smart, PG",Boston Celtics,"$14,339,285"
90,"Patrick Beverley, PG",Minnesota Timberwolves,"$14,320,988"
91,"Thaddeus Young, PF",San Antonio Spurs,"$14,190,000"
92,"Jonas Valanciunas, C",New Orleans Pelicans,"$14,000,000"
93,"Doug McDermott, SF",San Antonio Spurs,"$13,750,000"
94,"Christian Wood, C",Houston Rockets,"$13,666,667"
95,"Derrick Rose, PG",New York Knicks,"$13,445,120"
96,"Luke Kennard, SG",LA Clippers,"$13,347,727"
97,"Brook Lopez, C",Milwaukee Bucks,"$13,302,325"
98,"Kentavious Caldwell-Pope, SG",Washington Wizards,"$13,038,862"
99,"Joe Ingles, SG",Utah Jazz,"$13,036,364"
100,"Kyle Kuzma, SF",Washington Wizards,"$13,000,000"
101,"Taurean Prince, PF",Minnesota Timberwolves,"$13,000,000"
102,"Robert Covington, PF",Portland Trail Blazers,"$12,975,471"
103,"T.J. Warren, SF",Indiana Pacers,"$12,690,000"
104,"Deandre Ayton, C",Phoenix Suns,"$12,632,950"
105,"Terrence Ross, SG",Orlando Magic,"$12,500,000"
106,"Jordan Clarkson, PG",Utah Jazz,"$12,420,000"
107,"Dillon Brooks, SF",Memphis Grizzlies,"$12,200,000"
108,"Kelly Olynyk, PF",Detroit Pistons,"$12,195,122"
109,"Kelly Oubre Jr., SG",Charlotte Hornets,"$12,000,000"
110,"Jusuf Nurkic, C",Portland Trail Blazers,"$12,000,000"
111,"Josh Hart, SG",New Orleans Pelicans,"$12,000,000"
112,"Josh Richardson, SG",Boston Celtics,"$11,615,328"
113,"Marvin Bagley III, PF",Sacramento Kings,"$11,312,114"
114,"Dwight Powell, C",Dallas Mavericks,"$11,080,125"
115,"Devonte' Graham, PG",New Orleans Pelicans,"$11,000,000"
116,"Zion Williamson, PF",New Orleans Pelicans,"$10,733,400"
117,"Larry Nance Jr., PF",Portland Trail Blazers,"$10,690,909"
118,"Jeremy Lamb, SG",Indiana Pacers,"$10,500,000"
119,"Richaun Holmes, C",Sacramento Kings,"$10,384,500"
120,"Reggie Jackson, PG",LA Clippers,"$10,384,500"
201,"Franz Wagner, SF",Orlando Magic,"$5,007,840"
202,"Kris Dunn, PG",Memphis Grizzlies,"$5,005,350"
203,"Josh Jackson, SG",Detroit Pistons,"$5,005,350"
204,"JaVale McGee, C",Phoenix Suns,"$5,000,000"
205,"Robin Lopez, C",Orlando Magic,"$5,000,000"
206,"Kendrick Nunn, G",Los Angeles Lakers,"$5,000,000"
207,"Dante Exum, PG",Houston Rockets,"$5,000,000"
208,"Lou Williams, SG",Atlanta Hawks,"$5,000,000"
209,"Rui Hachimura, PF",Washington Wizards,"$4,916,160"
210,"Taj Gibson, C",New York Knicks,"$4,910,000"
211,"Cory Joseph, PG",Detroit Pistons,"$4,910,000"
212,"Garrett Temple, SF",New Orleans Pelicans,"$4,910,000"
213,"Torrey Craig, SF",Indiana Pacers,"$4,878,049"
214,"Bruce Brown, SF",Brooklyn Nets,"$4,736,102"
215,"Deni Avdija, SF",Washington Wizards,"$4,692,840"
216,"Donte DiVincenzo, SG",Milwaukee Bucks,"$4,675,830"
217,"Cam Reddish, SF",Atlanta Hawks,"$4,670,160"
218,"David Nwaba, SF",Houston Rockets,"$4,650,000"
219,"Furkan Korkmaz, SG",Philadelphia 76ers,"$4,629,630"
220,"Davion Mitchell, PG",Sacramento Kings,"$4,603,320"
221,"Ish Smith, PG",Charlotte Hornets,"$4,500,000"
222,"Bryn Forbes, SG",San Antonio Spurs,"$4,500,000"
223,"Jeff Green, PF",Denver Nuggets,"$4,500,000"
224,"Jalen Smith, PF",Phoenix Suns,"$4,458,000"
225,"Lonnie Walker IV, SG",San Antonio Spurs,"$4,447,896"
226,"Cameron Johnson, SF",Phoenix Suns,"$4,437,000"
227,"Ziaire Williams, SG",Memphis Grizzlies,"$4,373,040"
228,"Maurice Harkless, SF",Sacramento Kings,"$4,347,600"
229,"Kevin Huerter, SG",Atlanta Hawks,"$4,253,357"
230,"Devin Vassell, SG",San Antonio Spurs,"$4,235,160"
231,"P.J. Washington, PF",Charlotte Hornets,"$4,215,120"
232,"James Bouknight, SG",Charlotte Hornets,"$4,154,400"
233,"Willie Cauley-Stein, C",Dallas Mavericks,"$4,100,000"
234,"Josh Okogie, SF",Minnesota Timberwolves,"$4,087,904"
235,"Grayson Allen, SG",Milwaukee Bucks,"$4,054,695"
236,"Jarred Vanderbilt, PF",Minnesota Timberwolves,"$4,050,000"
237,"Tyrese Haliburton, PG",Sacramento Kings,"$4,023,600"
238,"Chandler Hutchison, SF",Phoenix Suns,"$4,019,459"
239,"Tyler Herro, PG",Miami Heat,"$4,004,280"
240,"Terence Davis, SG",Sacramento Kings,"$4,000,000"
161,"De'Andre Hunter, SF",Atlanta Hawks,"$7,775,400"
162,"Mo Bamba, C",Orlando Magic,"$7,568,743"
163,"Ivica Zubac, C",LA Clippers,"$7,518,518"
164,"T.J. McConnell, PG",Indiana Pacers,"$7,500,000"
165,"Patrick Williams, PF",Chicago Bulls,"$7,422,000"
166,"Aron Baynes, C",Toronto Raptors,"$7,350,000"
167,"Scottie Barnes, SF",Toronto Raptors,"$7,280,520"
168,"Darius Garland, PG",Cleveland Cavaliers,"$7,040,880"
169,"Chris Boucher, PF",Toronto Raptors,"$7,020,000"
170,"Zach Collins, PF",San Antonio Spurs,"$7,000,000"
171,"P.J. Tucker, PF",Miami Heat,"$7,000,000"
172,"D.J. Augustin, PG",Houston Rockets,"$7,000,000"
173,"Wendell Carter Jr., C",Orlando Magic,"$6,920,027"
174,"Juancho Hernangomez, F",Boston Celtics,"$6,907,815"
175,"Isaac Okoro, SF",Cleveland Cavaliers,"$6,720,720"
176,"Jalen Suggs, SG",Orlando Magic,"$6,593,040"
177,"Cameron Payne, PG",Phoenix Suns,"$6,500,000"
178,"Collin Sexton, PG",Cleveland Cavaliers,"$6,439,671"
179,"Jarrett Culver, G",Memphis Grizzlies,"$6,395,160"
180,"Khem Birch, C",Toronto Raptors,"$6,350,000"
181,"Onyeka Okongwu, PF",Atlanta Hawks,"$6,104,280"
182,"Justin Holiday, SF",Indiana Pacers,"$6,006,420"
183,"Josh Giddey, SG",Oklahoma City Thunder,"$5,988,000"
184,"Rudy Gay, SF",Utah Jazz,"$5,890,000"
185,"Patty Mills, PG",Brooklyn Nets,"$5,890,000"
186,"Dennis Schroder, PG",Boston Celtics,"$5,890,000"
187,"Kevin Knox II, SF",New York Knicks,"$5,845,979"
188,"Coby White, PG",Chicago Bulls,"$5,837,760"
189,"Killian Hayes, PG",Detroit Pistons,"$5,572,680"
190,"Mikal Bridges, SF",Phoenix Suns,"$5,557,725"
191,"Shai Gilgeous-Alexander, PG",Oklahoma City Thunder,"$5,495,532"
192,"Jonathan Kuminga, PF",Golden State Warriors,"$5,466,360"
193,"Miles Bridges, SF",Charlotte Hornets,"$5,421,493"
194,"Jaxson Hayes, C",New Orleans Pelicans,"$5,348,280"
195,"Pat Connaughton, SG",Milwaukee Bucks,"$5,333,334"
196,"Michael Porter Jr., SF",Denver Nuggets,"$5,258,735"
197,"Hamidou Diallo, SG",Detroit Pistons,"$5,200,000"
198,"Kevon Looney, C",Golden State Warriors,"$5,178,572"
199,"Troy Brown Jr., SF",Chicago Bulls,"$5,170,564"
200,"Obi Toppin, PF",New York Knicks,"$5,105,160"
201,"Franz Wagner, SF",Orlando Magic,"$5,007,840"
202,"Kris Dunn, PG",Memphis Grizzlies,"$5,005,350"
203,"Josh Jackson, SG",Detroit Pistons,"$5,005,350"
204,"JaVale McGee, C",Phoenix Suns,"$5,000,000"
205,"Robin Lopez, C",Orlando Magic,"$5,000,000"
206,"Kendrick Nunn, G",Los Angeles Lakers,"$5,000,000"
207,"Dante Exum, PG",Houston Rockets,"$5,000,000"
208,"Lou Williams, SG",Atlanta Hawks,"$5,000,000"
209,"Rui Hachimura, PF",Washington Wizards,"$4,916,160"
210,"Taj Gibson, C",New York Knicks,"$4,910,000"
211,"Cory Joseph, PG",Detroit Pistons,"$4,910,000"
212,"Garrett Temple, SF",New Orleans Pelicans,"$4,910,000"
213,"Torrey Craig, SF",Indiana Pacers,"$4,878,049"
214,"Bruce Brown, SF",Brooklyn Nets,"$4,736,102"
215,"Deni Avdija, SF",Washington Wizards,"$4,692,840"
216,"Donte DiVincenzo, SG",Milwaukee Bucks,"$4,675,830"
217,"Cam Reddish, SF",Atlanta Hawks,"$4,670,160"
218,"David Nwaba, SF",Houston Rockets,"$4,650,000"
219,"Furkan Korkmaz, SG",Philadelphia 76ers,"$4,629,630"
220,"Davion Mitchell, PG",Sacramento Kings,"$4,603,320"
221,"Ish Smith, PG",Charlotte Hornets,"$4,500,000"
222,"Bryn Forbes, SG",San Antonio Spurs,"$4,500,000"
223,"Jeff Green, PF",Denver Nuggets,"$4,500,000"
224,"Jalen Smith, PF",Phoenix Suns,"$4,458,000"
225,"Lonnie Walker IV, SG",San Antonio Spurs,"$4,447,896"
226,"Cameron Johnson, SF",Phoenix Suns,"$4,437,000"
227,"Ziaire Williams, SG",Memphis Grizzlies,"$4,373,040"
228,"Maurice Harkless, SF",Sacramento Kings,"$4,347,600"
229,"Kevin Huerter, SG",Atlanta Hawks,"$4,253,357"
230,"Devin Vassell, SG",San Antonio Spurs,"$4,235,160"
231,"P.J. Washington, PF",Charlotte Hornets,"$4,215,120"
232,"James Bouknight, SG",Charlotte Hornets,"$4,154,400"
233,"Willie Cauley-Stein, C",Dallas Mavericks,"$4,100,000"
234,"Josh Okogie, SF",Minnesota Timberwolves,"$4,087,904"
235,"Grayson Allen, SG",Milwaukee Bucks,"$4,054,695"
236,"Jarred Vanderbilt, PF",Minnesota Timberwolves,"$4,050,000"
237,"Tyrese Haliburton, PG",Sacramento Kings,"$4,023,600"
238,"Chandler Hutchison, SF",Phoenix Suns,"$4,019,459"
239,"Tyler Herro, PG",Miami Heat,"$4,004,280"
240,"Terence Davis, SG",Sacramento Kings,"$4,000,000"
241,"George Hill, PG",Milwaukee Bucks,"$4,000,000"
242,"Dorian Finney-Smith, PF",Dallas Mavericks,"$4,000,000"
243,"Gorgui Dieng, C",Atlanta Hawks,"$4,000,000"
244,"Aaron Holiday, PG",Washington Wizards,"$3,980,551"
245,"Joshua Primo, SG",San Antonio Spurs,"$3,946,800"
246,"Jake Layman, SF",Minnesota Timberwolves,"$3,940,185"
247,"Anfernee Simons, SG",Portland Trail Blazers,"$3,938,818"
248,"Justise Winslow, PF",LA Clippers,"$3,902,439"
249,"Danuel House Jr., SF",Houston Rockets,"$3,894,000"
250,"Kira Lewis Jr., PG",New Orleans Pelicans,"$3,822,240"
251,"Romeo Langford, SG",Boston Celtics,"$3,804,360"
252,"Landry Shamet, SG",Phoenix Suns,"$3,768,342"
253,"Chris Duarte, SG",Indiana Pacers,"$3,749,400"
254,"Alex Len, C",Sacramento Kings,"$3,732,000"
255,"Gabriel Deck, SF",Oklahoma City Thunder,"$3,676,852"
256,"Robert Williams III, C",Boston Celtics,"$3,661,976"
257,"Jevon Carter, PG",Brooklyn Nets,"$3,650,000"
258,"Aaron Nesmith, SF",Boston Celtics,"$3,631,200"
259,"Sekou Doumbouya, SF",Los Angeles Lakers,"$3,613,680"
260,"Moses Moody, SG",Golden State Warriors,"$3,562,200"
261,"Boban Marjanovic, C",Dallas Mavericks,"$3,500,000"
262,"Cole Anthony, PG",Orlando Magic,"$3,449,400"
263,"Corey Kispert, SF",Washington Wizards,"$3,383,640"
264,"Mike Muscala, C",Oklahoma City Thunder,"$3,365,385"
265,"Luca Vildoza, PG",New York Knicks,"$3,325,000"
266,"Georges Niang, F",Philadelphia 76ers,"$3,300,000"
267,"Michael Carter-Williams, PG",Orlando Magic,"$3,300,000"
268,"Chuma Okeke, PF",Orlando Magic,"$3,277,080"
269,"Isaiah Stewart, C",Detroit Pistons,"$3,277,080"
270,"Nickeil Alexander-Walker, SG",New Orleans Pelicans,"$3,261,480"
271,"Alperen Sengun, C",Houston Rockets,"$3,214,680"
272,"Facundo Campazzo, PG",Denver Nuggets,"$3,200,000"
273,"Nicolas Batum, PF",LA Clippers,"$3,170,029"
274,"Trey Burke, PG",Dallas Mavericks,"$3,150,000"
275,"Aleksej Pokusevski, PF",Oklahoma City Thunder,"$3,113,160"
276,"Goga Bitadze, C",Indiana Pacers,"$3,098,400"
277,"Trey Murphy III, SG",New Orleans Pelicans,"$3,053,760"
278,"Frank Jackson, PG",Detroit Pistons,"$3,000,000"
279,"Sterling Brown, SF",Dallas Mavericks,"$3,000,000"
280,"Ryan Arcidiacono, PG",Boston Celtics,"$3,000,000"
281,"Luka Samanic, PF",New York Knicks,"$2,959,080"
282,"Josh Green, SG",Dallas Mavericks,"$2,957,520"
283,"Tre Mann, PG",Oklahoma City Thunder,"$2,901,240"
284,"Matisse Thybulle, SG",Philadelphia 76ers,"$2,840,160"
285,"Saddiq Bey, SF",Detroit Pistons,"$2,824,320"
286,"Kai Jones, PF",Charlotte Hornets,"$2,770,560"
287,"Brandon Clarke, PF",Memphis Grizzlies,"$2,726,880"
288,"Precious Achiuwa, PF",Toronto Raptors,"$2,711,280"
289,"Marc Gasol, C",Memphis Grizzlies,"$2,692,991"
290,"Anthony Tolliver, PF",Philadelphia 76ers,"$2,692,991"
291,"Jalen Johnson, SF",Atlanta Hawks,"$2,659,580"
292,"Grant Williams, PF",Boston Celtics,"$2,617,800"
293,"Tyrese Maxey, PG",Philadelphia 76ers,"$2,602,920"
294,"Keon Johnson, SG",LA Clippers,"$2,553,120"
295,"Darius Bazley, PF",Oklahoma City Thunder,"$2,513,040"
296,"Trey Lyles, PF",Detroit Pistons,"$2,500,000"
297,"Zeke Nnaji, PF",Denver Nuggets,"$2,498,760"
298,"Isaiah Jackson, PF",Indiana Pacers,"$2,451,240"
299,"Ty Jerome, SG",Oklahoma City Thunder,"$2,412,840"
300,"Leandro Bolmaro, SG",Minnesota Timberwolves,"$2,353,320"
301,"Usman Garuba, PF",Houston Rockets,"$2,353,320"
302,"Willy Hernangomez, C",New Orleans Pelicans,"$2,327,220"
303,"Edmond Sumner, PG",Brooklyn Nets,"$2,320,000"
304,"Nassir Little, SF",Portland Trail Blazers,"$2,316,240"
305,"R.J. Hampton, PG",Orlando Magic,"$2,303,040"
306,"Josh Christopher, SG",Houston Rockets,"$2,259,240"
307,"Dylan Windler, SG",Cleveland Cavaliers,"$2,239,200"
308,"Immanuel Quickley, SG",New York Knicks,"$2,210,640"
309,"John Konchar, SG",Memphis Grizzlies,"$2,200,000"
310,"Quentin Grimes, SG",New York Knicks,"$2,168,760"
311,"Jordan Poole, SG",Golden State Warriors,"$2,161,440"
312,"Bol Bol, C",Denver Nuggets,"$2,161,152"
313,"Keldon Johnson, SF",San Antonio Spurs,"$2,145,720"
314,"Payton Pritchard, PG",Boston Celtics,"$2,137,440"
315,"Jahlil Okafor, C",Atlanta Hawks,"$2,130,023"
316,"Bones Hyland, PG",Denver Nuggets,"$2,096,880"
317,"Udoka Azubuike, C",Utah Jazz,"$2,075,880"
318,"Jaden McDaniels, PF",Minnesota Timberwolves,"$2,063,280"
319,"Malachi Flynn, PG",Toronto Raptors,"$2,048,040"
320,"Cam Thomas, SG",Brooklyn Nets,"$2,036,280"
321,"Desmond Bane, SG",Memphis Grizzlies,"$2,033,160"
322,"Jaden Springer, G",Philadelphia 76ers,"$2,023,800"
323,"Day'Ron Sharpe, C",Brooklyn Nets,"$2,009,040"
324,"Theo Maledon, PG",Oklahoma City Thunder,"$2,000,000"
325,"Jeremiah Robinson-Earl, PF",Oklahoma City Thunder,"$2,000,000"
326,"Kenrich Williams, SF",Oklahoma City Thunder,"$2,000,000"
327,"Abdel Nader, SF",Phoenix Suns,"$2,000,000"
328,"Jordan McLaughlin, PG",Minnesota Timberwolves,"$2,000,000"
329,"Damyean Dotson, SG",Cleveland Cavaliers,"$2,000,000"
330,"Santi Aldama, PF",Memphis Grizzlies,"$1,994,520"
331,"Damian Jones, C",Sacramento Kings,"$1,977,011"
332,"Jontay Porter, PF",Memphis Grizzlies,"$1,950,000"
333,"Denzel Valentine, SG",Cleveland Cavaliers,"$1,939,350"
334,"Alfonzo McKinnie, SF",Los Angeles Lakers,"$1,910,860"
335,"Damion Lee, SG",Golden State Warriors,"$1,910,860"
336,"P.J. Dozier, SG",Denver Nuggets,"$1,910,860"
337,"Shake Milton, SG",Philadelphia 76ers,"$1,846,738"
338,"Wes Iwundu, SF",Charlotte Hornets,"$1,824,003"
339,"Dwayne Bacon, SG",New York Knicks,"$1,824,003"
340,"Mitchell Robinson, C",New York Knicks,"$1,802,057"
341,"Jalen Brunson, PG",Dallas Mavericks,"$1,802,057"
342,"Didi Louzada, SF",New Orleans Pelicans,"$1,786,878"
343,"Jalen McDaniels, PF",Charlotte Hornets,"$1,782,621"
344,"Cody Martin, SF",Charlotte Hornets,"$1,782,621"
345,"Carsen Edwards, PG",Memphis Grizzlies,"$1,782,621"
346,"Daniel Gafford, C",Washington Wizards,"$1,782,621"
347,"Miye Oni, SG",Utah Jazz,"$1,782,621"
348,"Eric Paschall, F",Utah Jazz,"$1,782,621"
349,"Luguentz Dort, SF",Oklahoma City Thunder,"$1,782,621"
350,"Isaiah Roby, F",Oklahoma City Thunder,"$1,782,621"
351,"Mychal Mulder, G",Orlando Magic,"$1,782,621"
352,"Nic Claxton, PF",Brooklyn Nets,"$1,782,621"
353,"Naz Reid, C",Minnesota Timberwolves,"$1,782,621"
354,"Jaylen Nowell, SG",Minnesota Timberwolves,"$1,782,621"
355,"KZ Okpala, SF",Miami Heat,"$1,782,621"
356,"Caleb Martin, SF",Miami Heat,"$1,782,621"
357,"Terance Mann, SG",LA Clippers,"$1,782,621"
358,"Yogi Ferrell, PG",LA Clippers,"$1,782,621"
359,"Kevin Porter Jr., SG",Houston Rockets,"$1,782,621"
360,"Alen Smailagic, PF",Golden State Warriors,"$1,782,621"
361,"Vlatko Cancar, SF",Denver Nuggets,"$1,782,621"
362,"Justin James, G",Cleveland Cavaliers,"$1,782,621"
363,"Dean Wade, PF",Cleveland Cavaliers,"$1,782,621"
364,"Bruno Fernando, F",Boston Celtics,"$1,782,621"
365,"Yuta Watanabe, SF",Toronto Raptors,"$1,762,796"
366,"Drew Eubanks, PF",San Antonio Spurs,"$1,762,796"
367,"Chimezie Metu, PF",Sacramento Kings,"$1,762,796"
368,"Khyri Thomas, SG",Houston Rockets,"$1,762,796"
369,"Wenyen Gabriel, F",Milwaukee Bucks,"$1,762,796"
370,"Svi Mykhailiuk, SG",Toronto Raptors,"$1,729,217"
371,"Keita Bates-Diop, SF",San Antonio Spurs,"$1,729,217"
372,"Moritz Wagner, C",Orlando Magic,"$1,729,217"
373,"Alize Johnson, F",Chicago Bulls,"$1,729,217"
374,"Charlie Brown Jr., SF",Oklahoma City Thunder,"$1,701,593"
375,"Paul Watson, SG",Oklahoma City Thunder,"$1,701,593"
376,"Oshae Brissett, SF",Indiana Pacers,"$1,701,593"
377,"Kelan Martin, SG",Indiana Pacers,"$1,701,593"
378,"Juan Toscano-Anderson, SF",Golden State Warriors,"$1,701,593"
379,"Moses Brown, C",Dallas Mavericks,"$1,701,593"
380,"Mfiondu Kabengele, C",Cleveland Cavaliers,"$1,701,593"
381,"Tyler Cook, F",Chicago Bulls,"$1,701,593"
382,"DaQuan Jeffries, SG",Atlanta Hawks,"$1,701,593"
383,"Herbert Jones, SF",New Orleans Pelicans,"$1,700,000"
384,"Isaac Bonga, G",Toronto Raptors,"$1,669,178"
385,"Sam Dekker, F",Toronto Raptors,"$1,669,178"
386,"Raul Neto, PG",Washington Wizards,"$1,669,178"
387,"Jarrell Brantley, PF",Utah Jazz,"$1,669,178"
388,"Hassan Whiteside, C",Utah Jazz,"$1,669,178"
389,"Dennis Smith Jr., PG",Portland Trail Blazers,"$1,669,178"
390,"Cody Zeller, C",Portland Trail Blazers,"$1,669,178"
391,"Ben McLemore, SG",Portland Trail Blazers,"$1,669,178"
392,"Tony Snell, SF",Portland Trail Blazers,"$1,669,178"
393,"Elfrid Payton, PG",Phoenix Suns,"$1,669,178"
394,"Frank Kaminsky, PF",Phoenix Suns,"$1,669,178"
395,"Andre Drummond, C",Philadelphia 76ers,"$1,669,178"
396,"E'Twaun Moore, G",Orlando Magic,"$1,669,178"
397,"Wayne Selden, F",New York Knicks,"$1,669,178"
398,"DeAndre' Bembry, SG",Brooklyn Nets,"$1,669,178"
399,"James Johnson, PF",Brooklyn Nets,"$1,669,178"
400,"Blake Griffin, PF",Brooklyn Nets,"$1,669,178"
401,"Paul Millsap, PF",Brooklyn Nets,"$1,669,178"
402,"LaMarcus Aldridge, F",Brooklyn Nets,"$1,669,178"
403,"Thanasis Antetokounmpo, SF",Milwaukee Bucks,"$1,669,178"
404,"Semi Ojeleye, PF",Milwaukee Bucks,"$1,669,178"
405,"Rodney Hood, SG",Milwaukee Bucks,"$1,669,178"
406,"Max Strus, SG",Miami Heat,"$1,669,178"
407,"Gabe Vincent, PG",Miami Heat,"$1,669,178"
408,"Dewayne Dedmon, C",Miami Heat,"$1,669,178"
409,"Victor Oladipo, SG",Miami Heat,"$1,669,178"
410,"Markieff Morris, PF",Miami Heat,"$1,669,178"
411,"Udonis Haslem, PF",Miami Heat,"$1,669,178"
412,"Malik Monk, SG",Los Angeles Lakers,"$1,669,178"
413,"Kent Bazemore, SF",Los Angeles Lakers,"$1,669,178"
414,"Avery Bradley, PG",Los Angeles Lakers,"$1,669,178"
415,"Wayne Ellington, SG",Los Angeles Lakers,"$1,669,178"
416,"DeAndre Jordan, C",Los Angeles Lakers,"$1,669,178"
417,"Rajon Rondo, PG",Los Angeles Lakers,"$1,669,178"
418,"Trevor Ariza, SF",Los Angeles Lakers,"$1,669,178"
419,"Dwight Howard, C",Los Angeles Lakers,"$1,669,178"
420,"Carmelo Anthony, PF",Los Angeles Lakers,"$1,669,178"
421,"Isaiah Hartenstein, C",LA Clippers,"$1,669,178"
