RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VIVersatility ,ORTG,DRTG
,Nemanja Bjelica,Gol,F,33.51,11,15.5,32.3,18,16.7,11,0.818,32,0.563,23,0.522,0.655,0.677,7.4,4.7,16.2,1.6,15.3,0.91,0.27,1.09,9.9,123.8,91.7
,Eric Bledsoe,Lac,G,31.93,11,28.1,58.6,19.7,17.7,26,0.808,66,0.47,39,0.205,0.41,0.459,9.7,3.6,6.7,4.1,20.6,1.73,0.82,2.27,7.4,93.8,99.1
,Bojan Bogdanovic,Uta,F,32.57,12,30.7,64,22,8.5,51,0.922,88,0.5,62,0.323,0.493,0.565,16.3,4.1,7.2,1.3,6.7,0.5,0,1.33,5.8,115.1,107
,Bogdan Bogdanovic,Atl,G,29.23,11,29.7,61.8,17.2,10,8,1,55,0.509,59,0.407,0.561,0.579,12.4,4,7.2,2.2,10.8,0.73,0.18,1.18,6.4,113.2,108.4
,Bol Bol,Den,C-F,21.99,2,5.1,10.6,26,0,0,0,5,0.6,1,0,0.5,0.5,3,1.5,16.1,0.5,18.2,0.5,0,0,10.3,106,75.4
,Leandro Bolmaro,Min,F,21.17,3,3,6.3,26.6,34,2,1,1,0,2,0,0,0.258,0.7,0.7,11.2,0,0,0,0,0.67,0,,
,Isaac Bonga,Tor,G,22.01,3,2.2,4.7,6.4,0,0,0,1,1,0,0,1,1,0.7,0.7,16.2,0.7,44,0.33,0,0,12.7,,
,Devin Booker,Pho,G,25.03,10,33.5,69.9,31.2,13.2,43,0.814,128,0.477,64,0.359,0.497,0.536,22.6,6.3,10,5.3,24.7,1.1,0.3,3.2,10.9,103.8,102.6
,Brandon Boston Jr.,Lac,G,19.96,4,3.3,6.9,16,0,2,0.5,4,0.25,0,0,0.25,0.307,0.8,0.3,3.9,0.3,10,0.25,0,0,5,,
,Chris Boucher,Tor,F-C,28.84,13,13.6,28.4,21.5,10,15,0.733,38,0.553,36,0.194,0.426,0.459,5.7,3.6,14.4,0.2,1.7,0.69,0.85,0.69,4.7,96.6,98.1
,James Bouknight,Cha,G,21.15,5,1.6,3.3,25.8,0,0,0,4,0,1,0,0,0,0,0.4,12.9,0,0,0,0,0,0,,
,Avery Bradley,Lal,G,30.96,11,22.4,46.8,11.3,9,0,0,28,0.464,33,0.424,0.557,0.557,6.2,1.9,4.4,0.8,4.8,0.55,0.18,0.55,3.8,108.3,106.9
,Tony Bradley,Chi,C-F,23.84,8,10,20.9,11,10,0,0,18,0.5,0,0,0.5,0.5,2.3,3.8,20.1,0.4,5.1,0,1,0.25,6.1,129.8,95.2
,Ignas Brazdeikis,Orl,F,22.84,7,7.6,15.9,17,14.3,0,0,7,0.429,11,0.182,0.333,0.333,1.7,1.3,8.9,0.6,11.3,0.14,0,0.43,5.8,73.7,103.3
,Miles Bridges,Cha,F,23.65,13,36.2,75.4,24,8,59,0.78,130,0.508,96,0.344,0.511,0.55,21.3,7.5,10.8,3.5,14.5,1.69,0.85,1.69,9.1,112.4,108.3
,Mikal Bridges,Pho,F,25.2,10,33.4,69.6,15.9,6.5,12,0.75,72,0.653,38,0.395,0.632,0.642,14.8,3.3,5.3,1.7,7.2,0.7,0.9,0.8,5.2,122.7,106.6
,Oshae Brissett,Ind,F-G,23.4,8,12.8,26.6,16.6,17.9,5,0.2,16,0.563,14,0.286,0.5,0.481,3.9,2.4,10.2,0.4,4.1,0.25,0.13,0.88,4.9,84.7,103.7
,Malcolm Brogdon,Ind,G,28.92,8,36.6,76.3,28.3,12,41,0.927,105,0.533,46,0.283,0.5,0.559,23.6,6.9,10.3,6.4,28.3,0.88,0.88,2.88,11.1,114.1,107
,Armoni Brooks,Hou,G,23.44,8,8.1,16.8,19.6,0,3,1,6,0.667,23,0.261,0.448,0.478,3.6,0.8,4.9,0.4,7.5,0.38,0,0,5.2,107.4,101
,Dillon Brooks,Mem,G-F,25.81,1,26.1,54.4,30.5,10.5,0,0,10,0.4,7,0.571,0.588,0.588,20,4,8.1,6,42.1,2,0,2,12,118.1,98.1
,Greg Brown III,Por,F,20.2,6,5,10.4,28.8,9.9,5,0.4,12,0.5,4,0,0.375,0.385,2.3,2,21.2,0.7,20.3,0.17,0.33,0.33,11.8,92.4,95.7
,Troy Brown Jr.,Chi,G-F,22.29,8,8.9,18.4,16.1,3.9,2,0.5,13,0.462,11,0.364,0.5,0.502,3.1,1.1,6.8,0.3,4,0.13,0,0.13,4.5,104.5,99.9
,Bruce Brown,Bro,G-F,25.24,11,26,54.2,14.7,9.5,4,0.75,66,0.5,18,0.278,0.482,0.49,7.6,3.4,6.7,0.7,4.1,1.27,0.73,0.82,4,93.8,99.7
,Jaylen Brown,Bos,G-F,25.05,8,36.5,76,28.9,11.9,41,0.78,94,0.553,58,0.397,0.569,0.603,25.6,6.1,9,2.5,12.8,1.25,0.5,2.88,8,109.1,100.5
,Moses Brown,Dal,C,22.08,6,2.9,6.1,11.6,0,6,0.333,2,1,0,0,1,0.647,1,0.8,14.8,0,0,0,0.33,0,0,,
,Sterling Brown,Dal,G-F,26.75,9,12,25,15.4,18.5,2,1,7,0.429,23,0.174,0.3,0.324,2.2,3.2,14,0.7,7.7,0.22,0.11,0.78,5.7,69.3,96.5
,Jalen Brunson,Dal,G,25.2,11,28.7,59.7,21.7,10.3,34,0.765,90,0.556,35,0.343,0.544,0.579,14.7,5,9.1,4.7,28,0.73,0.09,1.45,9.8,119,104.2
,Reggie Bullock,Dal,G-F,30.66,11,20.6,42.9,14.8,6.6,5,0.6,17,0.588,52,0.327,0.514,0.52,6.7,2.5,6.2,0.6,4.6,0.09,0.09,0.45,4.2,102.5,106.9
,Trey Burke,Dal,G,29,4,7.7,16,25.4,22.5,4,1,7,0.429,5,0.4,0.5,0.581,4,0.5,3.4,1,20.9,0.5,0,1,6.5,99.5,110.8
,Alec Burks,Nyk,G,30.32,12,19,39.7,17,5.6,20,0.75,29,0.379,46,0.413,0.527,0.561,7.8,2.8,7.9,1.6,12.1,0.75,0.42,0.42,6.9,118.1,105.2
,Jared Butler,Uta,G,21.21,10,4.6,9.6,24.9,22.4,4,0.5,8,0.375,11,0.182,0.316,0.337,1.4,0.6,7,0.6,18.2,0,0.5,0.6,6.9,67.1,89.9
,Jimmy Butler,Mia,F,32.16,11,33,68.8,27.2,9.2,93,0.849,150,0.553,17,0.294,0.542,0.625,23.6,5.5,8.9,5.1,26.3,2.09,0.36,1.91,10.6,129.7,99.6
,Kentavious Caldwell-Pope,Was,G,28.73,11,30.3,63.1,13.7,9.6,9,0.778,38,0.447,52,0.365,0.506,0.521,8.9,3.8,6.7,1.5,7.2,1.36,0.36,0.91,4.9,102.9,101.3
,Facundo Campazzo,Den,G,30.64,11,15.1,31.5,11.3,18.8,8,0.75,12,0.583,19,0.263,0.468,0.507,3.2,1.9,6.9,1.6,14.2,0.73,0.27,0.73,5.7,102,95.2
,Clint Capela,Atl,C,27.49,12,28.5,59.4,14.5,4.3,33,0.576,96,0.521,0,0,0.521,0.538,9.9,11,20.7,1,5.1,0.67,1.25,0.42,6.7,124.6,103.3
,Vernon Carey Jr.,Cha,F-C,20.71,1,0.8,1.7,51.6,0,0,0,1,0,0,0,0,0,0,1,64.7,0,0,0,0,0,0,,
,Wendell Carter Jr.,Orl,C-F,22.58,12,28.3,59,19.5,11.7,24,0.667,80,0.563,45,0.4,0.576,0.59,13.3,10.2,19,2.4,14.9,0.5,0.75,1.5,9.7,117.5,100.9
,Jevon Carter,Bro,G,26.16,12,14.5,30.3,10.9,9.3,2,1,14,0.214,24,0.25,0.316,0.334,2.2,1.8,6.2,1.3,12,0.5,0.42,0.33,4.8,82.5,99.9
,Alex Caruso,Chi,G,27.7,11,27.5,57.2,13.9,21.9,22,0.864,38,0.553,27,0.407,0.577,0.629,8.5,2.5,4.8,3.6,17.8,2.64,0.36,1.91,6.2,113.1,96.2
,Willie Cauley-Stein,Dal,C,28.24,11,10,20.8,8.4,9.5,0,0,18,0.444,1,0,0.421,0.421,1.5,2.4,12.3,0.5,6.4,0.27,0,0.18,4.9,105.7,104.8
,Justin Champagnie,Tor,G-F,20.37,5,3.3,6.9,10,0,2,1,3,0,0,0,0,0.258,0.4,1.4,22.9,0.2,7.3,0,0,0,5.8,,
,Chris Chiozza,Gol,G,25.98,4,6.9,14.4,17,27.3,0,0,1,0,7,0.286,0.375,0.375,1.5,1,7.7,0.8,13.7,0.5,0,0.75,6.2,73.9,95.2
